Number,Name,Type1,Type2,HP,Attack,Defense,SpecialAtk,SpecialDef,Speed,Generation,Legendary
59,風速狗,Fire,NA,90,110,80,100,80,95,1,FALSE
60,蚊香蝌蚪,Water,NA,40,50,40,40,40,90,1,FALSE
61,蚊香君,Water,NA,65,65,65,50,50,90,1,FALSE
62,蚊香泳士,Water,Fighting,90,95,95,70,90,70,1,FALSE
63,凱西,Psychic,NA,25,20,15,105,55,90,1,FALSE
64,勇基拉,Psychic,NA,40,35,30,120,70,105,1,FALSE
65,胡地,Psychic,NA,55,50,45,135,95,120,1,FALSE
65,胡地Mega,Psychic,NA,55,50,65,175,95,150,1,FALSE
66,腕力,Fighting,NA,70,80,50,35,35,35,1,FALSE
67,豪力,Fighting,NA,80,100,70,50,60,45,1,FALSE
68,怪力,Fighting,NA,90,130,80,65,85,55,1,FALSE
69,喇叭芽,Grass,Poison,50,75,35,70,30,40,1,FALSE
70,口呆花,Grass,Poison,65,90,50,85,45,55,1,FALSE
71,大食花,Grass,Poison,80,105,65,100,70,70,1,FALSE
72,瑪瑙水母,Water,Poison,40,40,35,50,100,70,1,FALSE
73,毒刺水母,Water,Poison,80,70,65,80,120,100,1,FALSE
74,小拳石,Rock,Ground,40,80,100,30,30,20,1,FALSE
75,隆隆石,Rock,Ground,55,95,115,45,45,35,1,FALSE
76,隆隆岩,Rock,Ground,80,120,130,55,65,45,1,FALSE
77,小火馬,Fire,NA,50,85,55,65,65,90,1,FALSE
78,烈焰馬,Fire,NA,65,100,70,80,80,105,1,FALSE
79,呆呆獸,Water,Psychic,90,65,65,40,40,15,1,FALSE
80,呆殼獸,Water,Psychic,95,75,110,100,80,30,1,FALSE
80,呆殼獸Mega,Water,Psychic,95,75,180,130,80,30,1,FALSE
81,小磁怪,Electric,Steel,25,35,70,95,55,45,1,FALSE
82,三合一磁怪,Electric,Steel,50,60,95,120,70,70,1,FALSE
83,大蔥鴨,Normal,Flying,52,65,55,58,62,60,1,FALSE
84,嘟嘟,Normal,Flying,35,85,45,35,35,75,1,FALSE
85,嘟嘟利,Normal,Flying,60,110,70,60,60,100,1,FALSE
86,小海獅,Water,NA,65,45,55,45,70,45,1,FALSE
87,白海獅,Water,Ice,90,70,80,70,95,70,1,FALSE
88,臭泥,Poison,NA,80,80,50,40,50,25,1,FALSE
89,臭臭泥,Poison,NA,105,105,75,65,100,50,1,FALSE
90,大舌貝,Water,NA,30,65,100,45,25,40,1,FALSE
91,刺甲貝,Water,Ice,50,95,180,85,45,70,1,FALSE
92,鬼斯,Ghost,Poison,30,35,30,100,35,80,1,FALSE
93,鬼斯通,Ghost,Poison,45,50,45,115,55,95,1,FALSE
94,耿鬼,Ghost,Poison,60,65,60,130,75,110,1,FALSE
94,耿鬼Mega,Ghost,Poison,60,65,80,170,95,130,1,FALSE
95,大岩蛇,Rock,Ground,35,45,160,30,45,70,1,FALSE
96,催眠貘,Psychic,NA,60,48,45,43,90,42,1,FALSE
97,引夢貘人,Psychic,NA,85,73,70,73,115,67,1,FALSE
98,大鉗蟹,Water,NA,30,105,90,25,25,50,1,FALSE
99,巨鉗蟹,Water,NA,55,130,115,50,50,75,1,FALSE
100,霹靂電球,Electric,NA,40,30,50,55,55,100,1,FALSE
101,頑皮雷彈,Electric,NA,60,50,70,80,80,140,1,FALSE
102,蛋蛋,Grass,Psychic,60,40,80,60,45,40,1,FALSE
103,椰蛋樹,Grass,Psychic,95,95,85,125,65,55,1,FALSE
104,卡拉卡拉,Ground,NA,50,50,95,40,50,35,1,FALSE
105,嘎啦嘎啦,Ground,NA,60,80,110,50,80,45,1,FALSE
106,飛腿郎,Fighting,NA,50,120,53,35,110,87,1,FALSE
107,快拳郎,Fighting,NA,50,105,79,35,110,76,1,FALSE
108,大舌頭,Normal,NA,90,55,75,60,75,30,1,FALSE
109,瓦斯彈,Poison,NA,40,65,95,60,45,35,1,FALSE
110,雙彈瓦斯,Poison,NA,65,90,120,85,70,60,1,FALSE
111,獨角犀牛,Ground,Rock,80,85,95,30,30,25,1,FALSE
112,鑽角犀獸,Ground,Rock,105,130,120,45,45,40,1,FALSE
113,吉利蛋,Normal,NA,250,5,5,35,105,50,1,FALSE
114,蔓藤怪,Grass,NA,65,55,115,100,40,60,1,FALSE
115,袋獸,Normal,NA,105,95,80,40,80,90,1,FALSE
115,袋獸Mega,Normal,NA,105,125,100,60,100,100,1,FALSE
116,墨海馬,Water,NA,30,40,70,70,25,60,1,FALSE
117,海刺龍,Water,NA,55,65,95,95,45,85,1,FALSE
118,角金魚,Water,NA,45,67,60,35,50,63,1,FALSE
119,金魚王,Water,NA,80,92,65,65,80,68,1,FALSE
120,海星星,Water,NA,30,45,55,70,55,85,1,FALSE
121,寶石海星,Water,Psychic,60,75,85,100,85,115,1,FALSE
122,魔牆人偶,Psychic,Fairy,40,45,65,100,120,90,1,FALSE
123,飛天螳螂,Bug,Flying,70,110,80,55,80,105,1,FALSE
124,迷唇姐,Ice,Psychic,65,50,35,115,95,95,1,FALSE
125,電擊獸,Electric,NA,65,83,57,95,85,105,1,FALSE
126,鴨嘴火獸,Fire,NA,65,95,57,100,85,93,1,FALSE
127,凱羅斯,Bug,NA,65,125,100,55,70,85,1,FALSE
127,凱羅斯Mega,Bug,Flying,65,155,120,65,90,105,1,FALSE
128,肯泰羅,Normal,NA,75,100,95,40,70,110,1,FALSE
129,鯉魚王,Water,NA,20,10,55,15,20,80,1,FALSE
130,暴鯉龍,Water,Flying,95,125,79,60,100,81,1,FALSE
130,暴鯉龍Mega,Water,Dark,95,155,109,70,130,81,1,FALSE
131,拉普拉斯,Water,Ice,130,85,80,85,95,60,1,FALSE
132,百變怪,Normal,NA,48,48,48,48,48,48,1,FALSE
133,伊布,Normal,NA,55,55,50,45,65,55,1,FALSE
134,水伊布,Water,NA,130,65,60,110,95,65,1,FALSE
135,雷伊布,Electric,NA,65,65,60,110,95,130,1,FALSE
136,火伊布,Fire,NA,65,130,60,95,110,65,1,FALSE
137,多邊獸,Normal,NA,65,60,70,85,75,40,1,FALSE
138,菊石獸,Rock,Water,35,40,100,90,55,35,1,FALSE
139,多刺菊石獸,Rock,Water,70,60,125,115,70,55,1,FALSE
140,化石盔,Rock,Water,30,80,90,55,45,55,1,FALSE
141,鐮刀盔,Rock,Water,60,115,105,65,70,80,1,FALSE
142,化石翼龍,Rock,Flying,80,105,65,60,75,130,1,FALSE
142,化石翼龍Mega,Rock,Flying,80,135,85,70,95,150,1,FALSE
143,卡比獸,Normal,NA,160,110,65,65,110,30,1,FALSE
144,急凍鳥,Ice,Flying,90,85,100,95,125,85,1,TRUE
145,閃電鳥,Electric,Flying,90,90,85,125,90,100,1,TRUE
146,火焰鳥,Fire,Flying,90,100,90,125,85,90,1,TRUE
147,迷你龍,Dragon,NA,41,64,45,50,50,50,1,FALSE
148,哈克龍,Dragon,NA,61,84,65,70,70,70,1,FALSE
149,快龍,Dragon,Flying,91,134,95,100,100,80,1,FALSE
150,超夢,Psychic,NA,106,110,90,154,90,130,1,TRUE
150,超夢MegaX,Psychic,Fighting,106,190,100,154,100,130,1,TRUE
150,超夢MegaY,Psychic,NA,106,150,70,194,120,140,1,TRUE
151,夢幻,Psychic,NA,100,100,100,100,100,100,1,FALSE
153,月桂葉,Grass,NA,,62,80,63,80,60,2,FALSE
166,安瓢蟲,Bug,Flying,,35,50,55,110,85,2,FALSE
